Name	Type	File	Tempo Offset	Min Var	Max Var
Cello Fs3	String	cello/cello_Fs3_1_forte_arco-normal.wav	0	91	100
Cello E3	String	cello/cello_E3_1_forte_arco-normal.wav	0	81	90
Cello D3	String	cello/cello_D3_1_forte_arco-normal.wav	0	71	80
Cello C3	String	cello/cello_C3_1_forte_arco-normal.wav	0	61	70
Cello As2	String	cello/cello_As2_1_forte_arco-normal.wav	0	51	60
Cello Gs2	String	cello/cello_Gs2_1_forte_arco-normal.wav	0	41	50
Cello Fs2	String	cello/cello_Fs2_1_forte_arco-normal.wav	0	31	40
Cello E2	String	cello/cello_E2_1_forte_arco-normal.wav	0	21	30
Cello D2	String	cello/cello_D2_1_forte_arco-normal.wav	0	11	20
Cello C2	String	cello/cello_C2_1_forte_arco-normal.wav	0	0	10
Trumpet Fs5	Brass	trumpet/trumpet_Fs5_1_forte_normal.wav	0	91	100
Trumpet E5	Brass	trumpet/trumpet_E5_1_forte_normal.wav	0	81	90
Trumpet D5	Brass	trumpet/trumpet_D5_1_forte_normal.wav	0	71	80
Trumpet C5	Brass	trumpet/trumpet_C5_1_forte_normal.wav	0	61	70
Trumpet As4	Brass	trumpet/trumpet_As4_1_forte_normal.wav	0	51	60
Trumpet Gs4	Brass	trumpet/trumpet_Gs4_1_forte_normal.wav	0	41	50
Trumpet Fs4	Brass	trumpet/trumpet_Fs4_1_forte_normal.wav	0	31	40
Trumpet E4	Brass	trumpet/trumpet_E4_1_forte_normal.wav	0	21	30
Trumpet D4	Brass	trumpet/trumpet_D4_1_forte_normal.wav	0	11	20
Trumpet C4	Brass	trumpet/trumpet_C4_1_forte_normal.wav	0	0	10
Flute Fs5	Wind	flute/flute_Fs5_1_forte_normal.wav	0	91	100
Flute E5	Wind	flute/flute_E5_1_forte_normal.wav	0	81	90
Flute D5	Wind	flute/flute_D5_1_forte_normal.wav	0	71	80
Flute C5	Wind	flute/flute_C5_1_forte_normal.wav	0	61	70
Flute As4	Wind	flute/flute_As4_1_forte_normal.wav	0	51	60
Flute Gs4	Wind	flute/flute_Gs4_1_forte_normal.wav	0	41	50
Flute Fs4	Wind	flute/flute_Fs4_1_forte_normal.wav	0	31	40
Flute E4	Wind	flute/flute_E4_1_forte_normal.wav	0	21	30
Flute D4	Wind	flute/flute_D4_1_forte_normal.wav	0	11	20
Flute C4	Wind	flute/flute_C4_1_forte_normal.wav	0	0	10
Guitar Fs5	Percussion	guitar/guitar_Fs4_very-long_forte_normal.wav	0	91	100
Guitar E5	Percussion	guitar/guitar_E4_very-long_forte_normal.wav	0	81	90
Guitar D5	Percussion	guitar/guitar_D4_very-long_forte_normal.wav	0	71	80
Guitar C5	Percussion	guitar/guitar_C4_very-long_forte_normal.wav	0	61	70
Guitar As4	Percussion	guitar/guitar_As3_very-long_forte_normal.wav	0	51	60
Guitar Gs4	Percussion	guitar/guitar_Gs3_very-long_forte_normal.wav	0	41	50
Guitar Fs4	Percussion	guitar/guitar_Fs3_very-long_forte_normal.wav	0	31	40
Guitar E4	Percussion	guitar/guitar_E3_very-long_forte_normal.wav	0	21	30
Guitar D4	Percussion	guitar/guitar_D3_very-long_forte_normal.wav	0	11	20
Guitar C4	Percussion	guitar/guitar_C3_very-long_forte_normal.wav	0	0	10
