Name	Type	File	From Tempo	To Tempo	Tempo Phase	Tempo Offset	Min Var	Max Var
Clarinet C4	Wind	clarinet/clarinet_C4_025_forte_normal.wav	1	1	28	0	0	100
Clarinet C5	Wind	clarinet/clarinet_C5_025_forte_normal.wav	1	1	28	0	33	100
Clarinet C6	Wind	clarinet/clarinet_C6_025_forte_normal.wav	1	1	28	0	66	100
Clarinet E4	Wind	clarinet/clarinet_E4_025_forte_normal.wav	1	1	28	0	0	100
Clarinet E5	Wind	clarinet/clarinet_E5_025_forte_normal.wav	1	1	28	0	33	100
Clarinet E6	Wind	clarinet/clarinet_E6_025_forte_normal.wav	1	1	28	0	66	100
Clarinet G4	Wind	clarinet/clarinet_G4_025_forte_normal.wav	1	1	28	0	0	100
Clarinet G5	Wind	clarinet/clarinet_G5_025_forte_normal.wav	1	1	28	0	33	100
Clarinet E4	Wind	clarinet/clarinet_E4_025_forte_normal.wav	1	1	28	0.5	50	100
Clarinet E5	Wind	clarinet/clarinet_E5_025_forte_normal.wav	1	1	28	0.5	65	100
Clarinet E6	Wind	clarinet/clarinet_E6_025_forte_normal.wav	1	1	28	0.5	80	100
Clarinet G4	Wind	clarinet/clarinet_G4_025_forte_normal.wav	1	1	28	0.5	50	100
Clarinet G5	Wind	clarinet/clarinet_G5_025_forte_normal.wav	1	1	28	0.5	75	100
Clarinet B4	Wind	clarinet/clarinet_B4_025_forte_normal.wav	1	1	28	0.5	50	100
Clarinet B5	Wind	clarinet/clarinet_B5_025_forte_normal.wav	1	1	28	0.5	75	100
